name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00C,2,33.0,33.0,33.0,33.0,33.0,-0.0012768417188702,-0.0057183893020974295,0.517241379310345,0.224563793938417,0.187535384091182,0.0370284098472358,0.164890382362306
00D,1,39.0,39.0,39.0,39.0,39.0,-0.000832759761160308,-0.00437307713513137,0.5217391304347829,0.191261543756367,0.17210806924968,0.0191534745066871,0.10014284173657598
00J,3,10.0,10.0,10.0,10.0,47.0,-0.0024017554078344,-0.0124687857877031,0.5186558262554021,0.19377226630262195,0.138203499048824,0.0555687672537982,0.2867735838265639
00K,4,15.0,15.0,15.0,15.0,47.0,-0.00118391124698127,-0.00506525829310018,0.507750506197724,0.235490672562721,0.20284716506165099,0.0326435075010706,0.138619110242577
00L,4,16.0,16.0,38.0,38.0,38.0,-0.0019026575070050101,-0.00965829927540393,0.511706361501025,0.19742790899328697,0.160245304864157,0.0371826041291301,0.18833509567481801
00M,1,9.0,9.0,9.0,9.0,9.0,-0.000860549741389965,-0.0036713947604595297,0.5094339622641509,0.235253688462941,0.189644552169273,0.0456091362936681,0.19387214114117
00N,1,38.0,38.0,38.0,38.0,38.0,-0.0025089632423890102,-0.0119770034202326,0.5416666666666671,0.21199068035959803,0.151775562542261,0.0602151178173362,0.28404606143625705
00P,4,14.0,14.0,14.0,14.0,49.0,-0.00147530254606805,-0.007872949680527529,0.511582914836679,0.18756710884138603,0.16161291348118398,0.0259541953602015,0.13837284969908803
00Q,2,18.0,18.0,18.0,18.0,18.0,-0.000198185591269171,-0.000927527501672541,0.5227272727272729,0.213869037303803,0.20514887128796,0.008720166015843491,0.040773391631517
00R,2,46.0,46.0,46.0,46.0,46.0,-0.00307333792522628,-0.0142139573441563,0.5625,0.219293061314913,0.170119654511292,0.0491734068036205,0.224236036054992
00T,1,5.0,5.0,5.0,5.0,5.0,-0.0008784463716074,-0.0032944946833172,0.508771929824561,0.267519147313003,0.21744770413138104,0.0500714431816218,0.18716956780307398
00V,2,34.0,34.0,34.0,34.0,34.0,-0.0017262335020838,-0.007064081503684691,0.535714285714286,0.24609395507825402,0.197759417019908,0.0483345380583463,0.19640684812016898
00X,2,38.0,38.0,38.0,38.0,38.0,-0.00131024482817804,-0.0087645879296002,0.5416666666666671,0.150803277324665,0.11935740144839199,0.031445875876273004,0.208522496554057
00Y,0,,,,,,,,,,,,
01A,1,21.0,21.0,21.0,21.0,21.0,-0.000371789449266413,-0.00213599604937221,0.51219512195122,0.17443084230925898,0.15918747488933602,0.0152433674199229,0.0873891750915074
01C,1,33.0,33.0,33.0,33.0,33.0,-0.00231888372033716,-0.0113923367789493,0.517241379310345,0.205866563650408,0.13861893576063097,0.0672476278897775,0.32665638701763106
01D,4,16.0,16.0,16.0,16.0,47.0,-0.00330198747316758,-0.0125357937831054,0.520309031852639,0.271945351121165,0.18309848936336498,0.0888468617577998,0.326708514749399
01E,1,47.0,47.0,47.0,47.0,47.0,-0.0015358569068205,-0.0108728109175912,0.5333333333333329,0.142792512472828,0.11975465887051999,0.0230378536023075,0.16133796655963598
01F,2,5.0,5.0,5.0,5.0,5.0,-0.00464559577103735,-0.026016938917151,0.5500960065569971,0.18320602464512198,0.140980706558251,0.0422253180868711,0.23047996466635504
01G,6,6.0,6.0,6.0,6.0,6.0,-0.0016459275860945199,-0.0071675257845041,0.501812452875273,0.23229414558055497,0.150295005430499,0.0819991401500561,0.352997015680795
01H,0,,,,,,,,,,,,
01J,1,6.0,6.0,6.0,6.0,6.0,-0.000600900172822612,-0.0035140350505942,0.5178571428571429,0.171600951160078,0.137950541482012,0.0336504096780663,0.19609687155332503
01K,1,45.0,45.0,45.0,45.0,45.0,-0.00210530071231895,-0.00953353861256182,0.529411764705882,0.22293628466039003,0.187146172550968,0.0357901121094222,0.160539645504289
01R,4,19.0,19.0,19.0,19.0,43.0,-0.00123711702278255,-0.0049487294207457,0.517543916825932,0.250572167835228,0.214716746220874,0.0358554216143546,0.143094190883692
01T,0,,,,,,,,,,,,
01V,4,6.0,6.0,6.0,6.0,48.0,-0.00200238978244405,-0.00916156256364091,0.51796500200401,0.219607841282177,0.165485541810678,0.0541222994714993,0.246449758603823
01W,1,32.0,32.0,32.0,32.0,32.0,-0.0008387747604474549,-0.00426532033474703,0.5333333333333329,0.19748866143237098,0.172325418618948,0.0251632428134236,0.12741613939208699
01X,1,32.0,32.0,32.0,32.0,32.0,-0.000424091419302333,-0.00273953866936433,0.5333333333333329,0.155228045838656,0.142505303259586,0.012722742579069999,0.0819616230451939
