month,ratio_quantity.08N,ratio_quantity.08P,ratio_quantity.08Q,ratio_quantity.08R,ratio_quantity.08T,ratio_quantity.08V,ratio_quantity.08W,ratio_quantity.08X,ratio_quantity.08Y,ratio_quantity.09A,ratio_quantity.09C,ratio_quantity.09D,ratio_quantity.09E,ratio_quantity.09F,ratio_quantity.09G,ratio_quantity.09H,ratio_quantity.09J,ratio_quantity.09L,ratio_quantity.09N,ratio_quantity.09P,ratio_quantity.09W,ratio_quantity.09X,ratio_quantity.09Y,ratio_quantity.10A,ratio_quantity.10C,ratio_quantity.10D,ratio_quantity.10E,ratio_quantity.10J,ratio_quantity.10K,ratio_quantity.10L,ratio_quantity.10Q,ratio_quantity.10R,ratio_quantity.10V,ratio_quantity.10X,ratio_quantity.11A,ratio_quantity.11E,ratio_quantity.11J,ratio_quantity.11M,ratio_quantity.11N,ratio_quantity.11X,ratio_quantity.12D,ratio_quantity.12F,ratio_quantity.13T,ratio_quantity.14L,ratio_quantity.14Y,ratio_quantity.15A,ratio_quantity.15C,ratio_quantity.15D,ratio_quantity.15E,ratio_quantity.15F,ratio_quantity.15M,ratio_quantity.15N,ratio_quantity.99A,ratio_quantity.99C,ratio_quantity.99D,ratio_quantity.99E,ratio_quantity.99F,ratio_quantity.99G,ratio_quantity.99H,ratio_quantity.99J,ratio_quantity.99K,ratio_quantity.99M,ratio_quantity.99N
1414800000,13273.795759000075,10533.906508109778,12533.905350399686,11601.788015122704,16167.508257660244,13523.19312522066,15012.547898945699,9019.424018096932,13046.598630016018,13946.793140291189,35781.427997763836,28270.829009989448,37925.51289066271,39182.868622825124,31961.161584766724,24558.196848439726,31385.22552474158,24239.561879654357,19248.062734383126,48683.39358972972,34850.570162602184,21984.070759697435,17528.935394604538,45586.353531554356,25276.913708186883,37810.09271645371,55643.03532769482,29744.328815599853,34598.26814226578,42815.81705338879,22406.265950738056,29072.577845092266,32440.81047921135,29262.679045584002,27935.469527266603,21383.152493399088,30030.80763068937,30466.80468292064,43854.054502794745,30161.346535505498,33569.24866989302,39175.26856147622,36626.78963919726,37393.031989038325,19696.397694793322,17921.364571472677,29964.672751431495,16849.384353319427,27228.576770558084,32732.349583606258,31972.888486200976,35637.31351667194,40116.01482107816,42735.461049321326,42116.717190479714,30379.39580773616,29146.00748033661,29296.140644938037,16787.117047863405,30482.77957236052,29798.295485096696,28134.737564074796,28725.325856062536
1417392000,14717.101634966502,10684.338514446901,13589.384074673466,13239.240641563483,18187.29031915459,15299.457037770839,15666.82488366561,9964.28579852159,15615.503525879576,15164.955021935117,39771.486500318904,32529.284561033055,41490.77693428911,43804.45496482286,37563.10420334551,28594.816675972448,30936.01629537713,24975.46359324477,22498.567803165668,56584.81484688742,38706.681921822994,25374.32429508593,19416.514416617953,56334.52351730146,29966.124293543875,41417.10134231284,62511.27367651666,34086.81262654821,39357.37940356508,46370.36568164184,25622.987261982198,32730.79668532051,37523.660495617805,32010.468357102385,32201.661335316072,24135.373387136944,34485.18552918359,34680.756491294786,50399.95950388709,34584.15560061457,39815.58032884353,44180.43121180727,42426.942650516365,43075.86664430974,22442.73195722422,19785.492869135607,34263.80949915127,19878.65869479385,31803.639206519958,38662.41985708415,37023.75915637531,40827.8399593499,46842.42114835439,48699.267001179265,49690.95654704411,35069.745237073104,34253.708376876966,32015.662348335747,18561.343889038653,34413.42031561258,35105.87516952545,32953.296693379525,32227.288909060404
1420070400,14047.804182860138,10748.214473369955,12793.682776826992,12949.26627441621,17111.01068427052,13872.39946216844,15827.787881733446,9724.19682059852,13239.133623539099,13719.010795858387,38246.119462025315,31944.42770383772,41876.51833615904,41481.52589812668,34416.228385932125,26376.900259547638,29312.14824057122,25506.04457946555,20089.244458460977,50913.60381474922,37792.93759197577,23074.25839264032,17898.379483943456,52596.51742439416,29551.081268318678,38759.69197793773,58026.018675662264,30489.23060808103,35637.42561294929,43788.83078441044,23247.02348409718,30352.313939981523,34715.20622224752,29958.05474385056,29861.86151890967,22321.25559116509,31364.54063146503,32260.826632347518,47989.73082908756,31868.80404811902,36252.04555463023,40114.1403235927,38790.45662912467,39661.68856395177,20208.75877636164,18867.452786548558,31707.323991293775,18042.921967531198,29673.55681858715,35536.77075599423,33730.89053794339,38351.687458292785,42775.69939594693,44822.72775622141,44942.05202062034,32627.077435901214,29894.319836077273,29821.2303132572,18654.194093275964,31786.13001215067,32897.337055511234,30080.788602642922,30020.404953852634
1422748800,13196.015049443868,9414.356341055649,11884.595714669313,12462.920445366424,15652.5666109918,13540.474201741166,14099.67058050633,8921.964666812137,13184.398904036685,13029.087346562423,36576.303797468354,29234.470409613667,35682.48164061592,39002.350801421475,30881.98712332111,23790.20284884439,26545.48169051312,23270.67375527426,18551.035772211213,46914.03637620426,34775.741160892845,20766.581368316893,16526.076741476314,47699.2285199279,26510.06341593392,36049.68911390535,54350.72935654868,29280.597469668817,32975.228120288826,40484.86221721053,22130.4116108478,27823.63696230781,33392.24021784508,28310.517329387836,27895.86755189389,20617.161496128912,28882.373551930148,30341.613011348734,44479.88322506794,29654.70762686747,33697.16591599776,36879.48695931523,36415.28689982217,37584.812198181666,19103.079286390846,16917.719780799835,29027.43003523112,17224.503187817347,27154.464290951753,33152.35065611097,31834.939360219032,34985.560532322306,39780.716265450494,42187.8591678267,41957.03230272837,29656.54195522508,29456.775161093614,27863.13495154032,15967.384003564523,29278.9608866204,30678.716324805646,28280.84741026518,28629.915199847608
1425168000,13843.870537226254,10190.235872940055,13172.105622434092,13262.7920307681,16824.69005010737,14969.88856293037,15288.792229078615,9437.595970132574,14060.808002694173,13282.34031926542,38415.04351265822,32327.315673859677,43833.15493415705,41884.92017233968,34525.454156101216,27332.582499073036,29546.57442929828,24769.800618846693,20107.88790773112,53801.470492936474,37266.608012568744,24161.838278822757,17746.72783179312,50151.0644902864,28538.984279243272,40877.96265671339,60083.410787744164,31093.278864721095,38372.857553757036,44660.14377334557,23872.655453260777,30927.555266936775,36888.50739117234,30259.79914925097,30340.638649078974,22275.080864469674,32239.353934627707,33742.21263759026,48910.51126043986,32668.042744515482,38098.987403586645,41632.39427993262,40394.41355463348,40535.46987549573,21225.571019444305,18612.05781356469,31741.016887638783,18713.821316044192,29518.639754580792,35912.6046962366,34792.7686103153,39304.28764276093,43127.63864592268,47971.8659384264,46096.803785340766,32572.583315471653,30496.779995275683,31723.156044479052,17620.16485891562,32368.45383797149,32583.93769121795,31533.377652382413,29726.6966034392
1427846400,13967.054576696763,10164.673524968002,13120.285037173813,12416.469839525678,16281.7399487193,13608.363169536246,14587.626295823009,9417.388376002717,13541.704220764495,14050.664866592575,37958.98780844786,31031.864244339464,39142.86376059666,41468.53275287396,34283.582419338745,26387.856818164313,29094.726132706448,23950.707632251986,20556.781335242456,52512.41212677501,38928.13030322712,22712.101130910545,17451.01866116927,54613.399453354265,27946.053064997715,39100.334964835136,58305.387813569985,31392.326323251407,36847.08425572377,41163.557709921515,23300.809607374675,31405.135590511643,35176.8077338334,28143.188463627394,29216.81765248947,22363.552729032326,31812.39299195851,32915.813863143594,48244.29212758793,31996.88537621748,36682.24865711242,41111.09307830073,39588.60556872484,39834.035798183206,20560.337504495456,18164.43662770035,31460.36736259116,18093.576649918148,29651.800041013492,36666.0289862591,34398.09197134514,38123.5000464507,43312.72264228857,47101.31626414083,45855.92664807366,32023.858757686223,31116.630330480166,30209.9078864763,17600.5609569696,32001.3539063714,33151.18373171601,31580.7607893932,30229.109090194925
1430438400,13799.66665889648,9754.170277058694,12443.239046971963,12221.57452555915,16333.688879490355,13573.468869295413,15174.07659994729,9493.168435093516,13422.854468765845,13480.443562429342,37492.69614474798,31427.812555650176,40563.967202482985,41420.17000413368,32985.68318849266,26864.610572218837,30015.386605424286,23016.269170368378,19381.463927428926,49836.070406565515,37189.50383435844,22608.650193802627,16731.88653920885,50024.98643434222,28574.729840294967,39416.13435463504,59434.02110264831,30816.12712665406,36258.72841358749,44098.70820240395,23515.2318328858,29893.38736558527,35470.529558283124,31440.73576519358,30894.70425316039,21844.162626033198,31468.124039524035,32174.809872511396,47784.250007653245,32301.705952440738,37137.71002326947,40076.60301851245,39182.97289455661,38529.62965078956,20542.71967761867,18108.756490918004,30950.621643878723,18735.31435668719,28788.813752029873,34727.041052862405,33984.683209056915,37899.57920695918,41237.716863220856,46278.951336151484,43586.09941506034,31747.286718951364,30714.24864698883,29911.33494252377,17410.351154676864,31526.094993511426,32796.10346057796,30603.595265079963,30286.414840020745
1433116800,13568.13318991785,9900.057451906885,13253.569303889028,12622.496989675621,17169.40868599825,14282.18736345068,15153.344232649242,9874.3936352419,14216.941275423744,13431.002619012408,38171.642655400756,31953.133667261365,41794.29638208182,44207.035523486105,35383.823953650994,26932.386954612342,29904.15678771848,24372.290281329933,20906.857005627702,51770.41520436261,37886.64305764016,23892.449328912593,18354.60151747745,53692.79583182603,29751.872788515688,39786.378711205754,58936.98637411781,31855.084884397256,38386.62100524462,48758.01147011991,23261.024166437615,32146.381041528726,36601.00342841989,30333.56373565066,30666.616100401287,22778.4336825889,33031.82516942063,33463.39720134612,49854.90285763675,33292.26184494797,38095.186394972065,42253.34679294299,40450.99684003389,40707.502696962256,20873.489667382863,19055.82802309163,32178.360028087845,18669.43058770395,29367.44603914965,37076.938049299264,34600.23600399161,39018.10658333682,43687.292847588724,47889.555448667554,45624.640953180155,32948.017600058905,32338.422994884055,30868.631502608627,18190.410034889523,32564.915900567386,34094.79724105125,31438.25085001889,30162.048627405584
1435708800,14916.527730777098,10504.149735904091,13534.322023243443,12772.400268232268,17744.50798565584,15234.820711938595,15939.54128964024,10224.446636691398,14158.591540041074,14113.837053305006,39318.46658104776,33574.74308236548,41718.29165141908,45462.450300026074,36262.2885637556,28367.482463814827,31568.21775768994,25381.04540217671,21293.92895123882,54028.33873939892,39617.09190055041,24367.38560519511,18552.764193243504,54252.21049891888,29802.197953519906,41268.88745980706,63391.88974176142,32951.79413109722,38015.81056772357,45410.916878663076,25050.55179426308,32320.549510312452,37888.44419870703,31706.739095855843,32297.28560482382,23709.864956210677,33259.79655328313,35283.90264137018,50939.94092349684,34231.91782512133,39156.04492391078,43979.996884725864,41434.34398443575,41785.15563435111,22096.407715432328,19443.399212214885,33407.81413812826,19550.266132581102,30812.19381453388,38469.5659887908,36238.24976360987,40248.590052792526,46906.343708430955,50020.94118408222,46296.52904145968,33498.38211334379,32502.950113134368,32261.480392262863,18510.706478679,33969.28515380607,34798.06245252565,32924.66056650744,32111.586289966617
1438387200,12978.788577325533,9860.22653240392,12404.059768855075,11308.365379790434,15916.417328846832,13065.848831386222,14622.236808971405,9102.209627719785,13136.534702258728,13550.112148194123,37098.3729780411,30366.229214789917,39085.8886145608,40793.054004696045,31885.01887048061,27198.87722368037,28108.171943574256,23733.88351360722,20023.7637741826,51038.867096996684,35681.43662730264,22530.479139644554,17092.951458337913,52432.186574037005,28205.63099802978,37603.339274230595,56976.3429945612,28315.828424469913,36257.80867004033,43869.872380497254,22591.427534723596,29418.16016415844,35737.62768893426,28322.61780840666,29017.272245791642,22019.886665844322,31338.593407968812,32017.674199994628,47851.63325881437,31724.579415688244,35672.715586130216,39625.76745077717,37503.377058496226,37732.94338516087,20297.490665333837,18344.93322619865,30069.542225138455,17458.62149506348,28240.016849937678,34818.475705352284,33311.699218749985,37209.49880845492,41497.75376892378,44505.845545249926,44466.40578124231,31331.55411058432,30046.893976942138,29010.57682535222,17270.455659023177,30380.785299231862,31423.297925370305,30684.66482764807,28979.06214808123
