month,ratio_quantity.04H,ratio_quantity.04K,ratio_quantity.04L,ratio_quantity.04M,ratio_quantity.04N,ratio_quantity.04Q,ratio_quantity.04V,ratio_quantity.04Y,ratio_quantity.05A,ratio_quantity.05C,ratio_quantity.05D,ratio_quantity.05F,ratio_quantity.05G,ratio_quantity.05H,ratio_quantity.05J,ratio_quantity.05L,ratio_quantity.05N,ratio_quantity.05Q,ratio_quantity.05R,ratio_quantity.05T,ratio_quantity.05V,ratio_quantity.05W,ratio_quantity.05X,ratio_quantity.05Y,ratio_quantity.06A,ratio_quantity.06D,ratio_quantity.06F,ratio_quantity.06H,ratio_quantity.06K,ratio_quantity.06L,ratio_quantity.06M,ratio_quantity.06N,ratio_quantity.06P,ratio_quantity.06Q,ratio_quantity.06T,ratio_quantity.06V,ratio_quantity.06W,ratio_quantity.06Y,ratio_quantity.07G,ratio_quantity.07H,ratio_quantity.07J,ratio_quantity.07K,ratio_quantity.07L,ratio_quantity.07M,ratio_quantity.07N,ratio_quantity.07P,ratio_quantity.07Q,ratio_quantity.07R,ratio_quantity.07T,ratio_quantity.07V,ratio_quantity.07W,ratio_quantity.07X,ratio_quantity.07Y,ratio_quantity.08A,ratio_quantity.08C,ratio_quantity.08D,ratio_quantity.08E,ratio_quantity.08F,ratio_quantity.08G,ratio_quantity.08H,ratio_quantity.08J,ratio_quantity.08K,ratio_quantity.08L,ratio_quantity.08M
1414800000,46390.108538572706,30628.245306349385,35108.238696071254,32936.28967724727,24337.94632116266,46696.57752708061,28116.162693764407,41302.12103504593,30412.285800221962,34641.60833044436,33751.59374020541,28607.685405293156,40464.94476601043,40631.916774611396,29513.579525399393,28270.381485382673,39229.719005641055,30965.393042170213,27820.769713866677,33406.87129732112,30368.261880112186,39585.17697475015,40394.11908917847,36014.653030291985,32992.747179827464,34408.92660461251,27524.66575146888,27516.301350151745,25376.358376637312,32800.13001520542,68330.55640724275,17846.744828426963,25689.118840475396,32154.804669273024,36594.621843949506,41409.01607974517,28780.8261732828,35947.63742137355,27210.413856383628,25639.46761789179,47672.08201335486,35117.36042031524,18079.255224468554,15338.194997775438,21764.18232973036,9608.596396321425,16970.197679351815,11908.03050592683,13137.006299850917,14205.772948517544,9151.13584762563,18296.25798360168,11976.346455849212,18809.308966997083,14814.321357530513,12257.607241603639,11136.66507834621,24314.550596396315,16017.259863425623,17685.147827740286,12006.827587247766,10269.069112289144,14650.793466981973,11815.089473400527
1417392000,54952.703471389475,34836.250971648595,40677.029779030745,41927.971268528745,28013.020938322985,53403.37086178415,33300.6679729487,44880.14204162358,34977.00758165054,39876.512421560175,38550.87941804613,33362.99353520119,45406.1904806147,46273.36863126078,31639.92929018221,31161.869004734355,44855.716439724085,36885.689125996796,31363.992325731666,38981.99265940234,36813.5657134238,45689.033495829346,53818.56247916982,40688.68360647374,38319.15726609157,36364.40849664536,32275.78962165722,31171.185074170917,29196.275061198194,37072.348418560185,76614.29028906263,20366.967539717152,28508.37479419517,35451.55816424179,42344.73707579323,44644.874676903724,32325.16063129313,39934.29466739462,31121.41268857695,28936.108782963758,53417.546312107705,39714.43304831567,19861.343358347236,17090.96854271153,25152.86052994386,11273.179254573955,19767.489860885726,12868.784074044399,14331.797896385655,15414.00714222171,10602.454147046263,19884.178249486573,13275.550800778174,20626.54800731417,16552.41374229513,13403.507190100567,11951.294297404476,27537.873073566243,17566.24158981424,20543.84447190797,13842.808731568171,11086.719225161982,16226.557154149163,12134.849943405376
1420070400,48239.719023491496,31953.72136294918,38488.2964941231,36915.901382357144,24442.854897767415,50158.47983383168,30650.56582958494,42640.86003801771,31872.57918364813,37049.93765942967,35327.85888077859,30401.871064287614,42737.851432285635,42163.580097872255,29835.62149519217,30541.250274280814,40394.80927137864,33657.369313642586,28458.64791176555,35156.3970561091,34274.867394052664,42038.738960888004,45393.76830937136,39642.13865288062,34940.874278330266,38193.200798389094,29101.733845854622,28848.27911830779,27181.075531705137,34756.19126307992,71107.81455376094,19092.29550251249,26531.368670921504,33404.11136137586,38900.568361665835,42244.84655574121,32334.77027918224,36853.36393604519,28262.246227220952,26174.595520924337,49620.29322827066,36812.15834351361,19309.888183157436,16184.308610944412,22733.584672552326,9685.225739662888,18957.468260669903,12002.440111841608,13968.396517563937,14696.131675371476,9770.599023784807,18440.99581848672,12581.90810718939,19660.725874745327,14654.181989673385,13089.867353591579,11594.253852694439,26395.753522691757,15935.027715335811,18916.466508455727,12507.14017509337,10326.366454456802,15002.217563370239,12180.089067219886
1422748800,47448.11454015046,30710.009081897664,35490.06137455851,34508.025271958584,22773.868798807554,45716.835802271875,28323.44310260291,39769.89043720345,30044.746053747647,33736.243885217016,32540.795780701374,27928.517141000226,40359.84446817401,39726.22879254963,28182.335479772464,27822.45803968237,38690.96063731634,31225.291413407576,27007.74618076733,32954.339487134734,31808.806271642952,39349.00326549881,43411.67429733126,36372.910445319394,32823.57668591118,33938.70491397888,27577.771799819486,26061.808490654104,24999.865652833614,31216.225168899335,65680.74627691024,17619.924433370383,24286.281222707425,30755.161324274697,36129.260366713694,39277.02395801464,28516.62035612222,34520.435997201865,27499.505860857993,25365.79167043215,44986.344980653055,33547.608106384985,17348.315115801666,15142.401512621504,21187.665922336793,9163.7657527684,16759.94933558509,11759.359555656314,13059.380581974678,13659.575539495532,9092.316351007841,17552.398889509994,11680.813018425888,17663.433997696866,13656.180414426155,11618.900819336068,10535.040182437282,23692.740712561164,15368.639313753612,16258.049472986553,11319.639873900645,10244.3338909458,14543.444231929123,10990.980061057815
1425168000,50329.16628281899,32943.7867636879,37741.59790979099,38180.55864329486,26231.4899063543,49993.324659712554,30742.334999680217,43592.05235664785,30844.30312183214,38200.788799053444,36011.52876728295,31132.836279826766,44158.4948233437,43348.444068381235,30289.849556755493,30101.65793926769,41525.5477474677,34238.99356671322,29249.127058464754,35211.35002164624,35302.55043148464,43323.579226214184,47424.638993540684,38573.63573898153,37119.733889006435,36181.39806408309,29940.854182737603,29091.972536375542,27645.83758668872,35374.13852517241,73822.35368182842,18890.765882763644,26662.696316202,33080.61345851249,40264.96417489424,41927.14810195101,31182.01916904814,38100.60443404033,29316.509586180706,27069.603202495593,50162.75225910247,38514.60136477498,18408.225565725606,16322.227023796673,24416.739835155367,10274.177739354527,18890.369613202376,12077.073603869114,14062.08993906078,14075.77908012471,9631.23893403984,18856.77033530178,12744.842985066663,19908.39670475684,14608.105035929248,12594.624913462254,11450.501428229978,26282.33776408418,16384.85945556541,18098.42533085327,11900.039757439461,10951.117180542235,15942.8686988579,12158.099917177935
1427846400,50295.57564881279,31748.033805230454,36427.77753687604,36100.336959204215,24365.542985693013,49818.24826180225,31359.672745766868,42274.54204198544,32473.326530738723,37589.71360495594,35767.66653341569,30906.177106539108,44118.46761174919,42575.54508400006,36445.16678487204,30180.62840034947,41718.39356978619,32752.176759866816,28929.385286312958,35847.36434654093,34978.55979325466,43144.07951690209,47260.91080229049,39563.9226971896,35723.69056984442,37437.433545587635,28765.582505438157,29043.60369942398,26834.66408853556,34517.3994121769,72610.75965178377,18929.582121043342,26222.246322824143,33585.083255879894,39787.617567307265,42699.61577160474,30424.695364267496,38060.072817195054,28456.66156256467,27169.885462085156,51237.20859345233,37194.06004326925,17719.013419863695,15804.819182112673,23619.235864533137,9751.764148774266,18238.668411882914,11878.757456825886,13207.465220817792,15831.33489661912,9394.071271071907,18737.04072503304,12199.439750293252,19711.69296531681,14557.417577371662,12010.805021957598,10860.134203547255,27278.358726489423,16403.546137035682,17602.436930420634,12945.8956412028,10723.83065865591,14700.848033336253,11473.40572431176
1430438400,49063.981685993,32166.02340661695,36957.22127066034,37628.20965506768,23958.093480934815,46903.45266168663,30022.441625460327,41747.91723514114,32020.255964835822,36724.7872289731,36116.47636006833,30658.930076879406,43675.18165624478,41080.17964588408,28701.55448690228,30189.10137099123,39293.15901102098,33613.540769841595,27816.113241883344,34686.42476766906,35183.57996604649,42454.228866226054,46346.7475681781,37288.02263122413,35513.811735656,33332.9903162648,29544.96667349615,28605.708523731988,26632.82416382973,34604.98469945905,70433.37157083921,18641.819592096013,26258.998451950225,34178.295866874614,39596.673413445154,41713.85305176197,30575.080248187547,36799.05237271818,30043.46578379498,26669.223935624086,48521.83112049004,37288.442922768074,17699.687858947855,15609.485936106641,22444.582459395162,9662.562545848708,18154.878443314614,12415.627901999827,13502.248258926917,14679.678560903913,9305.944021623161,19108.779002420328,12280.945777583385,18987.371886660683,15128.122054608464,12277.1679755907,10724.741806592221,26261.93143097314,15757.717446621666,17416.43582292011,12483.15018975237,10790.470870717723,15627.644066529492,11240.070420855387
1433116800,51948.9692619179,34733.54245544147,38730.376746236536,36802.573229303125,25601.107496601275,49311.06802172557,32347.00009852243,43506.583650548375,31661.99434448257,37266.29116035266,35880.281280662864,32092.41443891146,44784.974857588175,42835.33116953135,37630.966343187625,31225.81232760588,42317.08037106537,34538.56155064245,28831.233596276263,36878.6061148367,35070.23911803318,43233.29743882098,48095.63997235225,42096.474182862024,36060.208379600175,38515.79507170198,29998.159435389294,28989.999124603884,27018.9058600669,34662.990285290805,76342.0096783376,19446.94024121845,27136.557619126223,33745.2676738239,40360.354309591195,44933.30842419285,30126.48695171056,39327.7791211749,28857.225457447752,27900.46108511007,51492.78642398665,37658.23384279387,18595.782870051313,15546.037271962396,23733.737380504528,10425.962412271574,18721.079867387303,12385.943524933793,14004.984593321187,14990.295874084119,9753.444199445192,18507.2792739624,12911.621569679983,20467.507529854905,15105.754044400195,13037.621844437863,11273.99864859059,27914.35551419264,16096.174788864964,18497.64119558545,12652.41030570659,11265.779109361632,15697.058764257132,11527.96108167706
1435708800,52128.00122413068,35171.29072815343,40587.159516268366,40444.32499502733,25843.881417746903,51291.66598313965,32708.715026512375,46321.38429626938,34530.75054079348,39138.32975051517,39002.69862785321,32885.191510908095,47982.57361091144,44280.22875272228,33466.95358979965,31661.46222483971,44350.3202551224,36259.849746108375,31162.558470119293,37570.15387696519,34688.017708833824,46610.35171146094,47962.35190661828,43425.17798604992,38115.56432482265,38637.41708180676,30684.64065164842,30832.310530649218,28136.202052777884,37602.999219058,76202.20135752355,19909.125026438458,27385.810596460746,35391.80293528494,42337.887012072,44146.597936935876,31892.89545356547,40039.08063746109,30933.67192239506,27950.58490741232,53056.5750182615,39574.078573094914,20231.37582066115,16803.63427541944,25858.557268439665,10530.36049210896,19343.467974184397,13358.603855251902,15080.229464954718,15811.785716975117,9907.460398232175,19403.24434450973,13525.12832979097,20975.05351096484,15811.78238912425,13829.654435126658,11648.145049572191,28925.853166479326,17618.882888963893,18919.427987391682,13771.886031869568,11441.301695414852,16204.151828278405,12486.094697886383
1438387200,46318.15232776098,32525.36458187164,36184.5256262597,37353.412201521176,23247.315321726328,48105.71215918583,28988.05322664628,41738.04384689922,30944.66158826969,35747.29272312171,34103.69530077777,30628.6225914815,42353.128318809795,40615.7835076493,31127.013544459656,28737.835239037122,39414.01194484661,32038.232516625503,27312.82859375114,33813.7401114857,34148.34717550963,42360.865026728956,43878.730172066134,39468.71127991103,34499.809249703,33084.11959549101,29068.681470809042,27858.8505286453,26249.328584829425,33668.31236173434,70718.43461091946,18236.433504712804,25333.48501094382,32179.69337924352,39206.26161169428,43100.7445785957,30744.493547521295,36562.80173687683,29620.810092883265,26330.602814771595,49991.299926953965,36011.16689108716,17562.161969490433,15381.450937707223,24391.640750853836,9134.781155031715,17343.709293910884,11724.254637103802,13520.488697969466,14092.334728117503,8488.177447017028,18178.7313191796,11783.829329426333,19364.23151166102,13625.952466432116,12129.164629556853,10828.749151161215,28531.44897974377,15861.960420347692,16364.99832518831,12603.133674579181,10481.79216035119,14915.699165099088,11376.755538273705
